Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
5/21/2025,OARK,ARKK 250523C00059000,BC,2500,0.06
5/21/2025,OARK,ARKK 250523C00061500,S,2500,0.01
5/21/2025,OARK,ARKK 250530C00057500,SS,2500,0.73
5/21/2025,OARK,ARKK 250530C00060000,B,2500,0.24
,,,,,
5/21/2025,APLY,AAPL 250523C00215000,BC,3000,0.12
5/21/2025,APLY,AAPL 250530C00212500,SS,3000,1.11
,,,,,
5/21/2025,NVDY,NVDA 250718C00120000,S,11000,18.75
5/21/2025,NVDY,2NVDA 250718P00120010,BC,11000,4.18
5/21/2025,NVDY,NVDA 250523C00142000,BC,10000,0.1
5/21/2025,NVDY,NVDA 250523C00139000,BC,11000,0.4
5/21/2025,NVDY,NVDA 250523C00149000,S,11000,0.03
5/21/2025,NVDY,NVDA 250530C00145000,SS,10000,1.4
,,,,,
5/21/2025,FBY,META 250718C00660000,S,150,23.11
5/21/2025,FBY,2META 250718P00660010,BC,150,42.02
5/21/2025,FBY,META 250523C00645000,BC,150,4.06
5/21/2025,FBY,META 250523C00672500,S,150,0.26
,,,,,
5/21/2025,NFLY,NFLX 250718C01140000,B,40,108
5/21/2025,NFLY,2NFLX 250718P01140010,SS,40,41.3
5/21/2025,NFLY,NFLX 250523C01220000,SS,40,4
5/21/2025,NFLY,NFLX 250523C01240000,B,40,1.3
,,,,,
5/21/2025,DISO,DIS 250523C00117000,S,1260,0.02
5/21/2025,DISO,DIS 250523C00114000,BC,1260,0.11
5/21/2025,DISO,DIS 250530C00112000,SS,1260,1.01
5/21/2025,DISO,DIS 250530C00114000,B,1260,0.45
,,,,,
5/21/2025,XOMO,XOM 250815C00105000,B,70,5.44
5/21/2025,XOMO,2XOM 250815P00105010,SS,70,5
5/21/2025,XOMO,XOM 250530C00107000,SS,70,0.73
5/21/2025,XOMO,XOM 250530C00110000,B,70,0.21
5/21/2025,XOMO,XOM 250523C00110000,BC,2000,0.03
5/21/2025,XOMO,XOM 250523C00113000,S,2000,0.01
5/21/2025,XOMO,XOM 250530C00107000,SS,2000,0.62
5/21/2025,XOMO,XOM 250530C00110000,B,2000,0.17
,,,,,
5/21/2025,JPMO,JPM 250718C00250000,B,80,18.36
5/21/2025,JPMO,2JPM 250718P00250010,SS,80,6
5/21/2025,JPMO,JPM 250530C00267500,SS,80,1.53
5/21/2025,JPMO,JPM 250530C00275000,B,80,0.27
5/21/2025,JPMO,JPM 250523C00272500,BC,1000,0.12
5/21/2025,JPMO,JPM 250523C00277500,S,1000,0.01
5/21/2025,JPMO,JPM 250530C00270000,SS,1000,1.42
5/21/2025,JPMO,JPM 250530C00275000,B,1000,0.44
,,,,,
5/21/2025,AMDY,AMD 250523C00121000,BC,6600,0.1
5/21/2025,AMDY,AMD 250523C00131000,S,6600,0.01
5/21/2025,AMDY,AMD 250530C00118000,SS,6600,1.38
5/21/2025,AMDY,AMD 250530C00125000,B,6600,0.37
,,,,,
5/21/2025,XYZY,XYZ 250523C00060000,BC,2435,0.12
5/21/2025,XYZY,XYZ 250523C00065000,S,2435,0.01
5/21/2025,XYZY,XYZ 250530C00059000,SS,2435,0.73
5/21/2025,XYZY,XYZ 250530C00063000,B,2435,0.17
,,,,,
5/21/2025,MRNY,MRNA 250718C00025000,B,400,3.45
5/21/2025,MRNY,2MRNA 250718P00025010,SS,400,2.42
5/21/2025,MRNY,MRNA 250523C00028000,SS,400,0.16
,,,,,
5/21/2025,AIYY,AI 250523C00025000,BC,450,0.03
5/21/2025,AIYY,AI 250530C00026000,SS,450,0.5
5/21/2025,AIYY,AI 250523C00024000,BC,16755,0.08
5/21/2025,AIYY,AI 250523C00025500,S,16755,0.01
5/21/2025,AIYY,AI 250530C00025500,SS,16755,0.54
,,,,,
5/21/2025,MSTY,MSTR 250523C00452500,BC,2800,0.46
5/21/2025,MSTY,MSTR 250530C00440000,SS,2800,5.3
5/21/2025,MSTY,MSTR 250620C00390000,B,1000,36.7
5/21/2025,MSTY,2MSTR 250620P00390010,SS,1000,24.2
5/21/2025,MSTY,MSTR 250530C00440000,SS,1000,4.7
5/21/2025,MSTY,MSTR 250530C00430000,SS,1500,5.39
5/21/2025,MSTY,MSTR 250530C00435000,SS,1500,4.68
5/21/2025,MSTY,MSTR 250523C00452500,BC,2827,0.3
5/21/2025,MSTY,MSTR 250523C00452500,BC,3000,0.26
,,,,,
5/21/2025,YBIT,MBTXW 250530C00265000,S,500,4.91
5/21/2025,YBIT,MBTXW 250530C00275000,BC,500,2.76
5/21/2025,YBIT,MBTXW 250530C00280000,B,500,2.06
5/21/2025,YBIT,MBTXW 250530C00295000,SS,500,0.86
5/21/2025,YBIT,MBTXW 250530C00280000,B,1000,2.01
5/21/2025,YBIT,MBTXW 250530C00295000,SS,1000,0.86
