Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
3/25/2025,TSLY,TSLA 250328C00260000,BC,5200,19.83
3/25/2025,TSLY,TSLA 250328C00290000,S,5200,3.19
3/25/2025,TSLY,TSLA 250328C00282500,SS,5200,5.6
3/25/2025,TSLY,TSLA 250328C00305000,B,5200,0.97
,,,,,
3/25/2025,OARK,ARKK 250516C00047000,S,340,7.85
3/25/2025,OARK,2ARKK 250516P00047010,BC,340,1.19
3/25/2025,OARK,ARKK 250328C00055500,BC,340,0.23
3/25/2025,OARK,ARKK 250328C00057500,S,340,0.03
,,,,,
3/25/2025,APLY,AAPL 250328C00217500,BC,5630,5.93
3/25/2025,APLY,AAPL 250328C00225000,S,5630,1.33
3/25/2025,APLY,AAPL 250328C00227500,SS,5630,0.63
3/25/2025,APLY,AAPL 250328C00232500,B,5630,0.1
,,,,,
3/25/2025,NVDY,NVDA 250417C00130000,B,1550,1.52
3/25/2025,NVDY,2NVDA 250417P00130010,SS,1550,10.44
3/25/2025,NVDY,NVDA 250328C00123000,SS,1550,0.77
3/25/2025,NVDY,NVDA 250328C00128000,B,1550,0.1
,,,,,
3/25/2025,AMZY,AMZN 250417C00235000,S,300,0.17
3/25/2025,AMZY,2AMZN 250417P00235010,BC,300,29.5
3/25/2025,AMZY,AMZN 250328C00200000,BC,300,5.8
3/25/2025,AMZY,AMZN 250328C00207500,S,300,1.23
,,,,,
3/25/2025,GOOY,GOOGL 250417C00200000,S,140,0.1
3/25/2025,GOOY,2GOOGL250417P00200010,BC,140,29.9
3/25/2025,GOOY,GOOGL 250328C00172500,BC,140,0.68
3/25/2025,GOOY,GOOGL 250328C00180000,S,140,0.03
3/25/2025,GOOY,GOOGL 250328C00165000,BC,3300,5.13
3/25/2025,GOOY,GOOGL 250328C00170000,S,3300,1.64
3/25/2025,GOOY,GOOGL 250328C00172500,SS,3300,0.7
3/25/2025,GOOY,GOOGL 250328C00180000,B,3300,0.03
,,,,,
3/25/2025,FBY,META 250328C00610000,BC,324,19.28
3/25/2025,FBY,META 250328C00645000,S,324,2.16
3/25/2025,FBY,META 250328C00637500,SS,324,3.96
3/25/2025,FBY,META 250328C00660000,B,324,0.63
3/25/2025,FBY,META 250328C00615000,BC,770,14.51
3/25/2025,FBY,META 250328C00645000,S,770,1.88
3/25/2025,FBY,META 250328C00637500,SS,770,3.47
3/25/2025,FBY,META 250328C00660000,B,770,0.55
,,,,,
3/25/2025,CONY,COIN 250328C00197500,BC,12480,11.13
3/25/2025,CONY,COIN 250328C00217500,S,12480,1.66
3/25/2025,CONY,COIN 250328C00215000,SS,12480,2.23
3/25/2025,CONY,COIN 250328C00227500,B,12480,0.51
3/25/2025,CONY,COIN 250328C00197500,BC,15660,9.56
3/25/2025,CONY,COIN 250328C00217500,S,15660,1.18
3/25/2025,CONY,COIN 250328C00215000,SS,15660,1.61
3/25/2025,CONY,COIN 250328C00227500,B,15660,0.33
,,,,,
3/25/2025,MSFO,MSFT 250417C00415000,S,100,1.62
3/25/2025,MSFO,2MSFT 250417P00415010,BC,100,20.33
3/25/2025,MSFO,MSFT 250328C00392500,BC,100,4.95
3/25/2025,MSFO,MSFT 250328C00405000,S,100,0.41
,,,,,
3/25/2025,XOMO,XOM 250417C00105000,S,330,11.75
3/25/2025,XOMO,2XOM 250417P00105010,BC,330,0.13
3/25/2025,XOMO,XOM 250328C00118000,BC,330,0.27
3/25/2025,XOMO,XOM 250328C00122000,S,330,0.02
,,,,,
3/25/2025,AMDY,AMD 250417C00105000,S,780,9.72
3/25/2025,AMDY,2AMD 250417P00105010,BC,780,1.44
3/25/2025,AMDY,AMD 250328C00116000,BC,780,0.59
3/25/2025,AMDY,AMD 250328C00122000,S,780,0.07
,,,,,
3/25/2025,MSTY,MSTR 250417C00260000,S,7800,82.9
3/25/2025,MSTY,2MSTR 250417P00260010,BC,7800,3.35
3/25/2025,MSTY,MSTR 250516C00330000,B,7800,45.5
3/25/2025,MSTY,2MSTR 250516P00330010,SS,7800,34.35
3/25/2025,MSTY,MSTR 250417C00250000,S,12925,91
3/25/2025,MSTY,2MSTR 250417P00250010,BC,12925,2.9
3/25/2025,MSTY,MSTR 250516C00330000,B,12925,45
3/25/2025,MSTY,2MSTR 250516P00330010,SS,12925,35.28
3/25/2025,MSTY,MSTR 250417C00260000,S,19000,80.4
3/25/2025,MSTY,2MSTR 250417P00260010,BC,19000,3.6
3/25/2025,MSTY,MSTR 250516C00330000,B,19000,44
3/25/2025,MSTY,2MSTR 250516P00330010,SS,19000,35.6
,,,,,
3/25/2025,CRSH,2TSLA 250417C00365020,BC,340,1.4
3/25/2025,CRSH,TSLA 250417P00365000,S,340,86.3
3/25/2025,CRSH,TSLA 250328P00257500,BC,340,1.29
3/25/2025,CRSH,TSLA 250328P00237500,S,340,0.26
3/25/2025,CRSH,TSLA 250417C00540000,S,430,0.02
3/25/2025,CRSH,TSLA 250328P00235000,BC,1038,0.28
3/25/2025,CRSH,TSLA 250328P00210000,S,1038,0.07
3/25/2025,CRSH,TSLA 250328P00257500,SS,1038,1.56
3/25/2025,CRSH,TSLA 250328P00237500,B,1038,0.33
,,,,,
3/25/2025,SNOY,SNOW 250417C00185000,S,200,0.66
3/25/2025,SNOY,2SNOW 250417P00185010,BC,200,22.38
3/25/2025,SNOY,SNOW 250328C00172500,S,200,0.17
3/25/2025,SNOY,SNOW 250328C00162500,BC,200,2.7
,,,,,
3/25/2025,DIPS,NVDA 250417P00135000,B,40,14.75
3/25/2025,DIPS,2NVDA 250417C00135020,SS,40,0.75
3/25/2025,DIPS,NVDA 250328P00118000,SS,40,0.79
3/25/2025,DIPS,NVDA 250328P00111000,B,40,0.09
3/25/2025,DIPS,NVDA 250417C00200000,B,40,0.02
,,,,,
3/25/2025,YQQQ,QQQ 250328P00466000,BC,208,0.1
3/25/2025,YQQQ,QQQ 250328P00480000,SS,208,0.67
,,,,,
3/25/2025,SMCY,SMCI 250417C00057000,B,1140,0.32
3/25/2025,SMCY,2SMCI 250417P00057010,SS,1140,16.61
3/25/2025,SMCY,SMCI 250328C00043000,SS,1140,0.59
3/25/2025,SMCY,SMCI 250328C00048500,B,1140,0.06
,,,,,
3/25/2025,CVNY,CVNA 250516C00175000,B,75,54.4
3/25/2025,CVNY,2CVNA 250516P00175010,SS,75,7.9
3/25/2025,CVNY,CVNA 250328C00230000,SS,75,2.56
3/25/2025,CVNY,CVNA 250328C00250000,B,75,0.28
