Date,Fund,Ticker,Type,Qty/Par Value,Exec Price
6/3/2025,OARK,ARKK 250718C00057000,B,300,3.92
6/3/2025,OARK,2ARKK 250718P00057010,SS,300,2.4
6/3/2025,OARK,ARKK 250606C00060000,SS,300,0.31
,,,,,
6/3/2025,NVDY,NVDA 250606C00139000,BC,15000,3.86
6/3/2025,NVDY,NVDA 250606C00147000,S,15000,0.44
6/3/2025,NVDY,NVDA 250606C00146000,SS,15000,0.62
6/3/2025,NVDY,NVDA 250606C00152500,B,15000,0.07
6/3/2025,NVDY,NVDA 250606C00139000,BC,15000,3.91
6/3/2025,NVDY,NVDA 250606C00146000,S,15000,0.64
6/3/2025,NVDY,NVDA 250606C00145000,SS,15000,0.88
6/3/2025,NVDY,NVDA 250606C00150000,B,15000,0.15
,,,,,
6/3/2025,GOOY,GOOGL 250606C00170000,SS,3000,0.65
6/3/2025,GOOY,GOOGL 250606C00175000,BC,3000,0.13
6/3/2025,GOOY,GOOGL 250606C00180000,S,3000,0.04
,,,,,
6/3/2025,AMDY,AMD 250606C00114000,BC,5595,3.53
6/3/2025,AMDY,AMD 250606C00120000,S,5595,0.71
6/3/2025,AMDY,AMD 250606C00119000,SS,5595,0.97
6/3/2025,AMDY,AMD 250606C00124000,B,5595,0.2
,,,,,
6/3/2025,AIYY,AI 250606C00027500,SS,5000,0.15
,,,,,
6/3/2025,MSTY,2MSTR 250711C00370010,B,1000,42.28
6/3/2025,MSTY,2MSTR 250711P00370010,SS,1000,20
6/3/2025,MSTY,2MSTR 250620C00420010,S,7350,7.5
6/3/2025,MSTY,2MSTR 250620P00420010,BC,7350,38.78
6/3/2025,MSTY,2MSTR 250711C00370010,B,7350,39.6
6/3/2025,MSTY,2MSTR 250711P00370010,SS,7350,19.9
6/3/2025,MSTY,MSTR 250606C00380000,BC,406,13
6/3/2025,MSTY,MSTR 250606C00380000,BC,700,12.1
6/3/2025,MSTY,MSTR 250606C00380000,BC,694,12.65
6/3/2025,MSTY,MSTR 250606C00400000,SS,700,3.11
6/3/2025,MSTY,MSTR 250606C00400000,SS,694,3.25
6/3/2025,MSTY,MSTR 250606C00402500,SS,2000,2.96
6/3/2025,MSTY,MSTR 250606C00400000,SS,2600,3.65
6/3/2025,MSTY,MSTR 250606C00400000,SS,500,3
6/3/2025,MSTY,MSTR 250606C00400000,SS,589,3.33
6/3/2025,MSTY,MSTR 250606C00400000,SS,1000,3.13
6/3/2025,MSTY,MSTR 250606C00402500,SS,1000,3.11
6/3/2025,MSTY,MSTR 250606C00395000,S,2500,5.38
6/3/2025,MSTY,MSTR 250606C00380000,BC,2500,13.15
6/3/2025,MSTY,MSTR 250606C00400000,SS,2500,3.88
,,,,,
6/3/2025,YBIT,IBIT 250620C00030000,B,850,30.45
6/3/2025,YBIT,IBIT 250606C00062000,SS,850,0.27
,,,,,
6/3/2025,ABNY,ABNB 250606C00131000,BC,1200,3.39
6/3/2025,ABNY,ABNB 250606C00136000,S,1200,0.74
6/3/2025,ABNY,ABNB 250606C00135000,SS,1200,1.15
6/3/2025,ABNY,ABNB 250606C00139000,B,1200,0.23
,,,,,
6/3/2025,FIAT,COIN 250718P00195000,S,200,2
6/3/2025,FIAT,2COIN 250718C00195020,BC,200,65.96
6/3/2025,FIAT,COIN 250606P00235000,BC,130,0.4
6/3/2025,FIAT,COIN 250606P00245000,SS,130,1.31
6/3/2025,FIAT,COIN 250606P00220000,S,200,0.11
6/3/2025,FIAT,COIN 250606P00237500,BC,200,0.44
,,,,,
6/3/2025,YQQQ,QQQ 250606P00502000,BC,22,0.2
6/3/2025,YQQQ,QQQ 250606P00514000,SS,22,1.13
6/3/2025,YQQQ,QQQ 250606P00516000,SS,35,0.94
6/3/2025,YQQQ,QQQ 250606P00505000,BC,35,0.18
6/3/2025,YQQQ,QQQ 250606P00504000,BC,44,0.21
6/3/2025,YQQQ,QQQ 250606P00516000,SS,44,1.13
6/3/2025,YQQQ,QQQ 250606P00505000,BC,15,0.17
6/3/2025,YQQQ,QQQ 250606P00516000,SS,15,0.94
,,,,,
6/3/2025,SMCY,2SMCI 250620P00045010,SS,800,3.53
6/3/2025,SMCY,SMCI 250606C00046000,S,2200,0.56
6/3/2025,SMCY,SMCI 250606C00045500,SS,800,0.58
6/3/2025,SMCY,SMCI 250606C00048000,B,800,0.23
6/3/2025,SMCY,SMCI 250620C00045000,B,800,2.04
6/3/2025,SMCY,SMCI 250606C00041500,BC,2200,2.68
6/3/2025,SMCY,SMCI 250606C00045500,SS,2200,0.68
6/3/2025,SMCY,SMCI 250606C00048000,B,2200,0.28
,,,,,
