Date,Fund,Ticker,Type,Qty/Par Value, Exec Price ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,WDTE,SPXW  250612P06035000,SS,119, 24.44 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,WDTE,SPXW  250611P06055000,BC,119, 32.76 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2025,QQQY,NDXP  250612P21910000,SS,78, 105.80 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,QQQY,NDXP  250611P22000000,BC,77, 139.20 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2025,IWMY,RUTW  250612P02155000,SS,548, 12.90 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,IWMY,RUTW  250611P02165000,BC,547, 16.77 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2025,SPYT,4SPX  250612C06022240,SS,199, 22.28 ,,,,,,,,,,,,,,,,,,,,,
6/10/2025,SPYT,4SPX  250612C06034280,B,199, 16.74 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,SPYT,4SPX  250611C06038810,BC,202, -   ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,SPYT,4SPX  250611C06050890,S ,202, -   ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2025,QQQT,4NDX  250612C21860800,SS,13, 98.37 ,,,,,,,,,,,,,,,,,,,,,
6/10/2025,QQQT,4NDX  250612C21904520,B,13, 78.26 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,QQQT,4NDX  250611C21941920,BC,13, -   ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,QQQT,4NDX  250611C21985800,S ,13, -   ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2025,GLDY,GLD   250611P00308000,BC,74, 0.29 ,,,,,,,,,,,,,,,,,,,,,
6/11/2025,GLDY,GLD   250613P00310000,SS,74, 2.93 ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
